id	GSM5176138_Control	GSM5176139_Control	GSM5176140_Control	GSM5176141_Control	GSM5176142_Control	GSM1332201_Control	GSM1332202_Control	GSM1332203_Control	GSM1332204_Control	GSM1332205_Control	GSM1332206_Control	GSM1332207_Control	GSM1332208_Control	GSM1332209_Control	GSM1332210_Control	GSM1337304_Control	GSM1337305_Control	GSM1337306_Control	GSM1337307_Control	GSM1337308_Control	GSM1337309_Control	GSM1337310_Control	GSM1337311_Control	GSM1337312_Control	GSM1337313_Control	GSM5176143_Treat	GSM5176144_Treat	GSM5176145_Treat	GSM5176146_Treat	GSM5176147_Treat	GSM5176148_Treat	GSM1332211_Treat	GSM1332212_Treat	GSM1332213_Treat	GSM1332214_Treat	GSM1332215_Treat	GSM1332216_Treat	GSM1332217_Treat	GSM1332218_Treat	GSM1332219_Treat	GSM1332220_Treat	GSM1337327_Treat	GSM1337328_Treat	GSM1337329_Treat	GSM1337330_Treat	GSM1337331_Treat	GSM1337332_Treat	GSM1337333_Treat	GSM1337334_Treat	GSM1337335_Treat	GSM1337336_Treat	GSM1339633_Treat	GSM1339632_Treat	GSM1339631_Treat	GSM1339630_Treat	GSM1339629_Treat	GSM1339628_Treat
CDKN2A	7.021208	6.054128	6.64969	6.820391	5.618596	6.172912	5.959606	6.674885	5.124664	6.40306	6.684825	6.690922	6.909652	6.539225	6.896056	5.973537	6.402676	6.094193	6.691686	6.480002	7.086235	6.678957	6.280913	6.048347	6.090329	6.991475	6.294193	7.062697	6.937219	6.571564	7.0772592	6.438815	6.60195	6.717981	6.217306	6.806447	6.899703	6.921729	6.705999	6.91644	7.050075	6.565852	6.571324	6.753071	7.165451	6.491188	6.969637	6.871738	7.251891	7.875986	6.836351	6.697377	6.245797	7.274677	6.403765	6.387912	6.968993
CDO1	11.072776	9.691879	11.335992	11.495076	11.394911	12.390344	12.961717	12.753721	12.156308	10.901991	12.81091	11.0127	10.363182	13.020054	12.122686	9.427922	11.475334	11.885607	9.056273	11.094935	12.369543	10.318915	10.825005	10.684533	11.178809	11.113574	10.519369	11.03084	11.328319	11.284848	11.3783833	10.823244	10.464303	10.752194	11.58791	11.040204	12.143073	10.844316	10.875143	10.876724	9.768638	11.968376	11.10732	10.553919	11.230845	12.123271	10.893951	11.233591	11.805298	11.2749428	11.852525	12.25422	12.56259	11.660154	12.029993	12.521486	10.917235
CHMP5	8.621529	9.0103	9.318027	8.872626	9.358079	9.954285	9.250834	8.492201	8.832031	8.940089	9.627167	9.033733	8.525099	9.223962	8.849707	9.01476	9.348087	9.507268	8.633172	9.061362	9.313463	8.529749	8.323935	8.711919	8.817668	9.30506	8.633343	9.122268	9.409476	9.597818	9.2999779	8.80532	9.140979	9.624385	8.854417	9.13231	9.36905	8.888025	9.136771	8.937113	9.658393	8.969329	9.129324	9.154252	9.631297	9.44018	9.185565	10.37153	9.30556	9.2692642	8.656716	9.768869	9.213473	8.693289	9.057999	9.059594	9.002734
CYB5R1	10.079699	10.074614	9.953958	10.210104	9.972008	10.28554	10.363218	10.211051	10.077985	9.610551	9.792613	9.23856	9.59705	10.302745	9.946636	8.895653	10.219587	9.742468	9.687133	9.726591	10.117507	10.075514	10.019374	10.012385	10.106768	10.083597	9.702525	10.583508	10.003294	10.047348	9.869382	9.874707	10.226011	10.681827	10.410899	10.508359	10.620957	10.27986	10.144167	10.463224	10.396388	10.946311	10.218017	10.52152	10.497945	10.38558	10.556089	10.346618	10.524357	10.2216597	10.052331	10.35564	10.521832	9.937687	10.497163	10.525728	10.475714
DAZAP1	8.388372	8.11021	7.959478	8.221711	8.139363	8.168248	7.897911	7.801377	8.566782	8.665698	7.652229	8.76629	8.776512	8.665473	8.09876	8.749396	8.364299	8.652582	9.167673	8.999413	7.877991	7.967741	7.914665	8.317796	8.193612	8.519744	7.288301	7.760326	8.045449	8.162242	8.2043665	8.063837	7.697309	8.16358	7.57849	8.040128	7.601525	7.752012	7.676062	7.804174	7.960445	7.626425	7.732643	7.987434	8.006912	7.652711	7.910192	7.715373	8.082602	7.7222809	8.021199	7.891836	7.486222	8.155407	8.044963	7.850641	8.397172
DDR2	9.825818	9.152443	9.112417	8.969819	9.017768	9.275692	10.773802	10.38716	9.296581	9.438611	9.347046	9.473805	9.877803	9.697099	10.174172	9.381809	10.008129	10.321371	9.178841	9.333201	10.076295	10.105965	10.365863	10.30405	10.098651	9.714061	10.102345	9.695739	8.408039	8.843814	9.0384103	9.641735	9.562014	8.985995	9.72589	9.437313	9.349553	7.63547	8.887723	9.775625	10.087761	9.233824	8.918461	9.584602	8.155228	9.406151	8.501114	8.617965	8.323086	9.1544428	9.593939	9.650226	9.640322	10.271818	10.155193	10.242107	9.063479
DLD	9.673712	9.259254	9.614475	9.476111	9.757249	9.93392	9.737653	9.278758	9.904707	9.528079	9.847654	9.56586	8.735989	9.865592	9.688781	9.184697	9.529289	9.896356	9.065707	9.642008	9.969754	8.68373	9.044074	9.569448	9.184697	9.202893	9.300625	9.283745	10.223828	9.649848	9.1414324	9.250356	10.255701	9.070219	9.58236	9.970037	9.578795	9.765393	9.557373	9.343229	9.028815	9.888858	9.709576	9.910063	9.515957	9.702481	9.860646	9.700572	9.968737	9.8185307	9.650658	9.541455	10.019304	9.608193	9.88469	9.49491	9.706085
EGFR	7.647917	7.617737	7.164769	7.258339	6.738076	7.018891	8.301961	8.343013	8.228701	7.889185	8.256479	7.650538	7.995283	8.137026	7.812864	6.885382	7.897592	7.921055	7.384826	7.745039	8.771123	7.580261	7.86334	7.990965	7.364422	7.252656	7.59794	7.627329	6.978294	7.21746	6.9045128	7.264922	7.365328	7.485364	7.707272	7.357465	6.879187	6.228283	6.768941	7.149019	7.611719	7.097264	7.290289	7.712947	6.85253	7.820156	7.365511	7.219946	7.240523	7.3520964	7.419279	7.290929	7.717865	8.273179	8.166892	7.962608	7.057897
EMC2	8.890278	9.33038	9.484257	9.462056	9.36955	8.276654	9.218474	8.921178	8.76993	9.01338	9.524929	9.380869	8.800722	9.284006	9.113943	9.043113	9.618402	9.363586	9.040466	9.455052	9.095069	8.818255	8.400185	8.753272	9.005398	8.818088	8.559629	8.976409	8.990191	9.297953	9.2056556	9.114118	9.514378	8.654298	9.053666	9.336667	9.401255	9.693857	9.571832	9.509457	8.998362	9.45692	9.608311	9.019215	9.37896	9.355534	9.185353	9.804168	9.596121	9.0950689	8.919133	9.852526	9.059797	9.025601	9.491291	9.366892	8.980328
ETV4	4.044741	5.115844	3.507435	4.676562	3.799632	4.127841	3.362603	5.142777	3.769785	4.90548	4.267282	5.185017	5.714601	6.090952	4.114735	5.979302	4.232124	4.466623	4.587704	3.601988	6.472953	5.916487	4.685126	6.27168	4.993111	4.389123	3.855508	5.258648	4.425467	6.225266	6.0142649	3.686472	6.02519	4.984264	4.420552	3.926052	4.65965	4.319842	4.100799	3.600665	4.918492	4.200106	4.156267	3.932578	4.603173	4.268895	4.229086	5.083373	3.492798	4.3033306	4.830749	4.28467	3.493349	6.133332	5.975354	4.093983	5.474439
FURIN	8.893375	8.256367	8.276191	8.544369	8.847201	7.730047	8.25081	8.820762	8.615424	8.911062	8.29323	8.322788	9.252298	9.223495	8.341178	8.513282	8.507763	7.720747	9.184126	8.550757	8.747051	8.623444	8.904949	8.865206	9.006204	7.993765	8.496084	7.840595	8.105423	8.175424	7.5116058	7.723467	8.121641	8.112551	7.782556	7.762383	7.432365	8.786363	8.163984	8.073784	8.75806	8.287916	8.073555	8.236415	7.58427	7.495489	8.623729	7.098109	8.374797	7.9730417	8.661597	7.597731	7.388541	8.329717	8.732636	8.481459	8.666205
FZD7	8.084006	8.066891	8.078702	8.4509	8.157947	8.155251	8.005917	8.228988	9.17894	9.246124	9.069211	7.961536	7.897753	9.067343	8.569422	8.641599	8.820257	8.609698	6.886198	7.794005	8.981464	8.58287	8.831976	8.70836	8.400759	8.773166	9.104502	8.680988	9.468046	9.49548	9.3255812	9.152071	9.66053	8.98672	8.949221	9.222189	9.020808	9.215216	9.157334	9.964964	8.948713	9.282984	9.018382	9.439064	9.045699	9.06008	9.00061	8.470975	9.629534	9.185156	8.963591	8.557875	9.538237	8.978678	9.457404	9.656428	8.88218
GABARAPL2	11.193846	11.365698	11.319032	11.331068	11.14503	11.421958	11.152297	11.38146	10.825423	11.234792	11.480367	11.221612	10.933294	11.355282	10.98638	11.442967	11.457769	11.110208	10.952214	11.248786	11.575029	11.380327	11.467453	11.467453	11.330188	11.448892	11.425804	12.010006	11.662775	11.809138	11.5316795	11.343387	11.67231	11.914195	11.537604	11.749328	11.717975	11.65549	11.658644	11.498829	11.29714	11.599865	11.735259	11.935148	11.645882	11.716081	11.558225	11.876506	11.431249	11.5244065	11.579334	11.65908	11.529281	11.794148	11.685218	11.519411	11.608257
GCLC	7.945536	8.30087	8.103013	7.921764	8.338075	8.383344	8.388409	8.280973	8.285678	8.770845	8.181662	8.077909	7.657159	8.754819	9.037617	8.50741	8.258688	8.643872	8.414096	8.729454	8.579975	7.893062	7.52444	7.597015	7.940206	8.273184	7.830113	8.046211	8.512193	8.657904	7.9592857	7.785772	8.336327	8.313912	7.644795	8.211227	8.047475	7.825453	7.941304	8.009237	7.986634	8.08588	8.352135	8.093184	7.724544	8.475141	7.971426	8.15714	8.189393	8.4047775	7.946661	8.372028	8.348881	7.962308	8.351424	8.363308	7.750315
GLRX5	8.860245	7.534251	8.461947	9.061754	7.873108	9.592617	8.751655	8.538349	9.164366	8.795534	9.040436	8.542677	7.357469	8.335942	8.4749	8.045456	7.916757	8.437107	8.167645	7.863016	9.155081	9.315317	8.965606	8.451076	8.917336	9.112201	9.079695	9.168221	9.344647	7.840446	9.0200724	8.371107	9.229469	10.011003	9.082263	9.338833	8.738314	9.114201	8.646924	8.781335	7.695112	8.853709	9.002135	9.220027	9.735454	9.636726	9.532144	9.418454	8.780983	8.8432857	9.020889	8.81811	8.611903	9.091738	8.651346	8.674474	9.321691
GSTZ1	5.119545	7.071796	4.489852	4.045655	4.9785	4.276521	4.181479	5.471631	4.320662	5.758395	6.500646	5.077053	4.527996	7.357516	4.302842	2.915311	6.287626	4.810342	3.408658	3.660956	6.263908	6.278432	5.886439	6.378966	4.902695	4.624822	4.389349	6.369362	7.062617	5.919713	7.2160868	4.749454	6.007121	7.66338	5.722219	5.644048	7.617613	7.192738	6.328147	5.4174	5.773616	5.27756	6.611232	6.61932	6.8884	5.763492	7.085908	7.234552	5.647236	5.4312311	6.125172	7.055258	4.737821	6.522348	4.41922	5.626941	6.29132
HIF1A	10.594872	11.604408	11.317025	11.20402	11.336678	11.322757	11.434571	11.029638	12.074454	11.644118	11.689313	12.572938	12.504419	11.639681	10.882781	12.563347	11.541248	11.220554	12.723967	12.464128	11.027962	11.236202	11.216758	11.230301	11.884201	11.72343	11.658334	12.08105	11.6284	12.017547	11.6737054	11.538185	11.248839	10.947466	10.905164	11.328426	11.153376	11.72511	11.558225	11.115941	10.825479	11.315364	11.418204	11.366521	11.005603	10.66803	11.481754	10.510866	11.509709	11.5259172	11.224087	11.67449	11.572472	11.054351	11.284209	11.305436	11.335829
HMGB1	12.098388	11.482695	11.846802	12.007182	11.744158	11.942548	11.747329	12.092989	12.369106	11.92609	12.290105	11.855286	11.990167	11.876895	12.071942	12.266016	12.06681	12.081335	11.881244	11.957282	12.24125	12.212269	11.917374	12.329058	12.072321	12.342169	11.821236	11.968357	12.176741	12.149072	12.0838658	12.092989	11.866607	11.829608	12.139491	11.825664	12.010728	11.398776	11.42901	11.90716	12.065883	11.905968	11.635517	11.802288	11.881244	11.818828	11.630818	11.63838	11.63838	11.8311118	12.128255	12.12878	12.177656	11.972163	11.947427	11.978168	11.611046
HMOX1	11.038444	10.180591	9.630136	9.246338	9.528147	8.088714	9.749845	9.9274	9.51611	10.232938	10.461721	10.174414	12.19287	10.41491	9.233424	10.729568	10.489211	8.86249	12.412698	12.597054	8.743637	10.18554	11.529685	11.514191	12.172107	11.96141	10.433456	9.326008	10.421158	10.290898	10.2313305	10.115415	10.823055	9.418006	8.569977	9.668512	9.949279	10.41641	11.461716	10.225855	10.350163	9.721337	10.406794	9.804156	10.175868	8.667394	9.984771	9.469857	9.69453	9.6702141	10.839104	10.96678	10.355401	8.621795	10.853768	8.869787	9.634361
HSPA5	11.517801	12.910331	11.673285	11.587195	11.717523	12.530541	12.319228	11.040897	12.311573	12.329141	11.809688	12.595692	12.569535	11.069035	11.471827	11.609799	11.5128	11.510324	12.625876	13.129906	11.8811	11.428176	11.30774	11.672588	10.967641	11.688401	11.072192	11.650414	11.5559	11.473031	11.3587953	11.262803	11.244557	11.748914	11.203645	11.172932	10.955467	11.706868	11.317255	11.551507	10.969558	11.641424	11.812651	11.341434	11.017055	10.440849	11.736595	10.581433	11.544544	11.623591	11.395749	11.07473	11.090151	11.600938	11.092064	11.009053	11.877201
IL1B	7.897666	6.313097	6.987109	7.183116	6.690101	8.427346	8.310394	8.058646	8.461543	8.836165	8.90976	8.127635	8.671073	7.054349	7.832168	8.306013	6.521536	6.279424	10.044031	8.374837	6.013847	6.166289	8.591178	9.118224	8.740819	9.539444	7.939941	7.534904	7.478034	7.722654	6.4392966	7.220261	7.113331	5.768799	6.645416	6.144954	6.92893	6.776735	6.658045	6.674247	7.235214	7.145848	6.893631	7.177511	6.535816	6.594202	6.629742	7.324447	7.214242	6.7175161	7.00109	6.778342	8.081466	6.384203	5.91151	6.448291	6.758438
IL6	7.256393	8.318321	7.597422	7.246511	7.592361	7.93529	8.849418	7.289367	9.64688	10.332791	10.193702	11.955819	12.689835	7.625192	7.254836	9.890064	6.473767	6.566287	11.739895	11.035429	6.660609	5.150157	9.81715	9.49609	11.688978	12.321551	7.530384	6.060491	7.642393	7.955535	6.9785369	7.120372	6.010508	6.905996	8.444457	6.285751	5.823744	6.754384	7.647574	5.654385	6.519152	7.582642	6.330483	6.410898	6.420244	6.29962	7.896385	6.641257	6.105411	7.4648897	6.02618	7.258385	9.84916	5.179221	5.93422	7.216384	6.5876
KDM6B	8.709947	8.58747	7.260411	8.179512	8.175689	7.438362	7.950324	8.235888	8.979981	9.950308	8.389176	9.376396	11.244854	8.459577	8.731597	9.127118	8.139005	7.983881	10.738293	9.499511	7.944124	8.492268	9.046611	9.108026	9.578276	9.186946	9.40125	8.645563	8.500748	8.222487	8.1013435	8.543349	7.830608	8.413264	7.878962	7.728854	8.4259	8.196949	8.456976	8.253979	8.313454	8.035197	8.416112	7.968737	7.007133	7.920424	7.858252	8.517326	8.556256	8.2604848	8.492651	7.541858	8.678174	8.395893	8.825749	8.728154	8.568564
LYRM1	8.625627	9.108204	8.55265	8.05551	8.337235	8.367202	8.820961	8.994442	8.435714	8.077498	8.765367	9.15123	8.218789	8.009133	8.784022	8.045145	8.116112	9.577768	8.315597	8.701538	8.420106	8.165311	7.902343	7.853649	7.783473	8.313364	8.295563	8.604779	7.696263	7.894202	8.364573	8.520004	8.048675	7.84625	8.114446	8.37631	8.807062	7.79003	7.882634	8.240096	8.339182	7.712755	8.508309	8.398246	9.03751	9.33877	8.132217	9.378663	8.117041	7.9986211	7.82619	8.804932	8.4651	9.095402	8.285964	8.435498	8.485963
MEF2C	7.729639	8.7269	8.807753	8.816486	8.476125	8.100338	8.3097	8.775619	8.577576	8.671444	8.733855	8.021863	8.088184	8.426043	8.164533	8.841457	8.978767	9.057016	7.155845	7.642756	8.425248	9.168048	9.179196	9.176853	8.869143	8.49787	9.022056	9.237394	8.805681	9.437452	8.7482969	9.047677	9.09946	8.780562	9.264185	9.353558	9.090614	8.420931	8.340604	8.753591	8.894168	8.975212	8.69615	9.200734	8.499672	8.697295	8.811427	8.292183	8.524618	8.8664501	9.248549	8.69624	8.737231	9.023532	8.655667	8.066286	9.296541
MEG3	7.20126	7.430344	7.631634	7.746232	7.715056	7.223472	7.617204	8.217541	8.586711	7.435852	7.169177	6.449749	8.996821	7.489505	6.768489	8.979031	7.733092	7.897056	8.765074	7.942493	7.22277	7.648321	8.462991	8.738884	8.679576	7.330465	7.223943	6.491568	6.89354	7.231043	7.129778	8.365803	7.882721	7.79429	7.550352	7.936306	7.335239	7.580342	7.154441	7.451455	7.595008	7.070579	7.064832	6.971767	7.045377	6.134643	6.754883	7.031312	5.94351	6.6594883	7.903011	8.465383	7.096846	8.44811	7.287671	5.492546	7.283163
MTDH	9.730795	9.65301	9.488831	9.674951	9.546099	9.177969	9.962456	9.290993	9.64261	10.030724	10.29208	9.585583	9.672938	9.99752	9.795445	9.905584	9.706466	9.59464	9.685	10.090537	10.113839	10.214935	9.988434	9.927239	9.816166	10.007871	10.128814	9.910153	9.700375	9.822385	9.8019045	9.948451	9.770555	9.176352	9.575004	9.415478	9.486825	9.607172	9.875014	9.577619	9.904242	9.66011	9.680716	9.157429	9.123072	9.405851	9.559375	9.134871	9.517314	9.39589	9.806697	9.646483	9.777691	9.60297	9.447849	9.581076	9.877377
MTF1	8.123284	7.363665	7.398165	8.010969	7.121911	6.869516	7.883511	7.512106	7.340986	8.096312	7.629219	7.879574	7.828022	7.956179	8.003838	7.924786	7.928694	7.360888	8.367871	7.823296	7.889083	7.867393	7.767599	7.974291	8.04059	8.384659	7.805033	7.56856	7.886831	7.884998	7.5218926	7.396206	7.74899	7.014219	7.316315	7.222901	7.527033	7.823808	8.083897	8.157745	8.179024	7.811957	7.437506	7.735383	7.020385	7.28096	7.781631	6.470761	7.658977	7.7645656	8.144987	7.427837	7.98482	7.843609	7.842225	7.956518	7.94464
NDRG1	12.206639	11.858833	11.57453	11.798582	11.842379	10.941424	11.451965	11.837282	12.014541	12.05924	10.92704	12.480594	12.767051	11.779335	11.025268	11.55918	11.350454	11.672729	12.075806	11.495534	10.724565	10.995857	10.931575	10.981752	11.472619	11.006661	10.980035	10.813447	11.179819	10.882463	10.9471922	10.870775	10.852816	10.935064	11.106372	10.851021	11.300919	11.265101	11.169302	11.228907	11.192422	11.226776	11.73572	11.140812	10.741447	11.483747	11.580686	10.095585	11.13361	10.9569491	11.24024	10.90121	11.22223	11.439235	10.975219	11.926101	10.665608
NFE2L2	10.33135	9.802462	10.723654	10.252755	10.550362	10.037949	10.536934	10.236692	10.65097	10.544213	10.612361	10.275161	10.004128	10.26404	10.315257	10.664212	10.191393	10.449996	10.614756	10.744348	9.958144	9.361317	10.292601	10.038102	10.486625	10.537008	10.236261	10.184818	10.446328	10.547073	10.1470783	10.327252	10.393767	10.218145	10.272717	10.554803	10.80496	10.567981	10.309925	10.488264	10.703761	10.631311	10.340896	10.142195	10.486625	10.470737	10.062069	10.527043	10.960529	10.7236987	10.162885	10.69619	10.984403	9.962243	10.333576	10.569322	10.152556
OSBPL9	10.028483	10.114476	9.969253	9.999064	9.870388	10.099116	10.44155	10.453186	9.725655	9.528344	10.309682	8.927595	9.291282	10.071984	9.436226	9.863368	9.679306	10.146871	9.014064	9.043784	10.05655	9.715399	9.343043	9.21716	9.286385	9.191869	9.341889	9.423198	9.329466	9.92009	9.6308664	9.98757	9.840808	9.479136	9.858124	9.813384	9.926096	9.585905	9.444331	9.611456	9.49877	9.782775	10.052789	9.588039	9.735508	10.248823	9.377494	9.68112	9.637083	10.0521407	9.627861	9.992057	9.878058	10.186773	9.627314	9.825866	9.652234
PARK7	12.115804	12.182626	12.034185	11.915777	11.939526	12.562398	11.900973	11.92978	12.43926	11.548804	11.780594	11.843797	11.843797	11.884613	11.898128	11.994665	11.824374	12.320808	11.900878	11.912161	11.857338	11.69762	11.679515	11.686097	11.632973	12.151321	11.933175	12.357311	11.860145	12.133268	12.1574566	12.252609	11.982682	11.904587	12.34192	12.166241	12.329619	12.077459	11.70226	12.288323	12.060954	12.367202	12.17182	11.947174	12.381269	12.344422	12.087155	12.591338	11.99031	12.2048259	11.808059	12.37261	11.913923	11.966584	12.020668	12.043584	11.936051
PARP6	9.732503	9.389	9.364082	9.450021	9.742394	8.946122	9.756516	9.6083	9.287663	9.895859	9.365421	9.671865	9.776609	9.416244	9.328197	9.553808	9.281814	9.247326	9.457405	9.552467	9.278879	8.969691	9.763665	9.785604	9.665566	9.279521	9.461103	8.93215	9.315118	9.12713	8.838876	9.598565	9.016203	9.113248	9.046534	9.186389	9.111987	9.040422	9.175745	9.103058	9.36201	8.942539	9.023699	8.821213	9.086676	9.097278	8.88398	9.378461	9.078488	9.0518845	9.613442	9.326653	9.098827	9.114152	9.174981	9.059434	9.026183
