ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa05134	Legionellosis	3/29	57/8464	0.000934540411313209	0.00723182775081155	0.0040176820837842	IL1B/IL6/RELA	3
hsa04068	FoxO signaling pathway	4/29	131/8464	0.000964243700108207	0.00723182775081155	0.0040176820837842	CDKN1A/EGFR/GABARAPL2/IL6	4
hsa05171	Coronavirus disease - COVID-19	5/29	232/8464	0.00102738587220498	0.00739717827987588	0.00410954348881993	EGFR/IL1B/IL6/RELA/TBK1	5
hsa05135	Yersinia infection	4/29	137/8464	0.00113948220337243	0.00788872294642453	0.00438262385912474	IL1B/IL6/RELA/TBK1	4
hsa04140	Autophagy - animal	4/29	141/8464	0.00126806677633864	0.00845377850892427	0.00469654361606904	ATG16L1/GABARAPL2/TBK1/ULK1	4
hsa05131	Shigellosis	5/29	247/8464	0.00135959507258885	0.00850146095994761	0.00472303386663756	ATG16L1/EGFR/IL1B/RELA/TBK1	5
hsa05321	Inflammatory bowel disease	3/29	65/8464	0.00136967982132489	0.00850146095994761	0.00472303386663756	IL1B/IL6/RELA	3
hsa04921	Oxytocin signaling pathway	4/29	154/8464	0.00175623575137386	0.00969506181596721	0.00538614545331511	CDKN1A/EGFR/MEF2C/PTGS2	4
hsa04934	Cushing syndrome	4/29	155/8464	0.00179850089958292	0.00969506181596721	0.00538614545331511	CDKN1A/CDKN2A/EGFR/FZD7	4
hsa05218	Melanoma	3/29	72/8464	0.00184030036620164	0.00969506181596721	0.00538614545331511	CDKN1A/CDKN2A/EGFR	3
hsa05223	Non-small cell lung cancer	3/29	72/8464	0.00184030036620164	0.00969506181596721	0.00538614545331511	CDKN1A/CDKN2A/EGFR	3
hsa04218	Cellular senescence	4/29	156/8464	0.00184147055170664	0.00969506181596721	0.00538614545331511	CDKN1A/CDKN2A/IL6/RELA	4
hsa05160	Hepatitis C	4/29	157/8464	0.00188515090866029	0.00969506181596721	0.00538614545331511	CDKN1A/EGFR/RELA/TBK1	4
hsa05214	Glioma	3/29	75/8464	0.00206929773023094	0.00992028586836552	0.00551126992686974	CDKN1A/CDKN2A/EGFR	3
hsa05161	Hepatitis B	4/29	162/8464	0.00211442978703728	0.00992028586836552	0.00551126992686974	CDKN1A/IL6/RELA/TBK1	4
hsa05133	Pertussis	3/29	76/8464	0.0021493952714792	0.00992028586836552	0.00551126992686974	IL1B/IL6/RELA	3
hsa05220	Chronic myeloid leukemia	3/29	76/8464	0.0021493952714792	0.00992028586836552	0.00551126992686974	CDKN1A/CDKN2A/RELA	3
hsa05140	Leishmaniasis	3/29	77/8464	0.00223140262534663	0.0100413118140599	0.00557850656336658	IL1B/PTGS2/RELA	3
hsa04630	JAK-STAT signaling pathway	4/29	166/8464	0.00231127523845419	0.0101470620224818	0.00563725667915656	CDKN1A/EGFR/IL6/SOCS1	4
hsa05225	Hepatocellular carcinoma	4/29	168/8464	0.00241430709141872	0.0103470303917945	0.00574835021766363	CDKN1A/CDKN2A/EGFR/FZD7	4
hsa05164	Influenza A	4/29	171/8464	0.00257475357032426	0.0107780382013574	0.0059877990007541	IL1B/IL6/RELA/TBK1	4
hsa05206	MicroRNAs in cancer	5/29	310/8464	0.00367377218896003	0.0148044473447938	0.00822469296932987	CDKN1A/CDKN2A/EGFR/PTGS2/SOCS1	5
hsa05222	Small cell lung cancer	3/29	92/8464	0.00370111183619844	0.0148044473447938	0.00822469296932987	CDKN1A/PTGS2/RELA	3
hsa05202	Transcriptional misregulation in cancer	4/29	193/8464	0.00398251366997689	0.0155837491433878	0.00865763841299323	CDKN1A/IL6/MEF2C/RELA	4
hsa05215	Prostate cancer	3/29	97/8464	0.00429582577365378	0.0164520987076102	0.00914005483756124	CDKN1A/EGFR/RELA	3
hsa01522	Endocrine resistance	3/29	98/8464	0.00442133343251271	0.0165800003719227	0.00921111131773482	CDKN1A/CDKN2A/EGFR	3
hsa04640	Hematopoietic cell lineage	3/29	99/8464	0.00454905765324068	0.0167108240323127	0.00928379112906261	IL1B/IL6/TFRC	3
hsa04933	AGE-RAGE signaling pathway in diabetic complications	3/29	100/8464	0.00467901018667146	0.0168444366720172	0.00935802037334291	IL1B/IL6/RELA	3
hsa05142	Chagas disease	3/29	102/8464	0.00494564629360346	0.0171195448624735	0.00951085825692974	IL1B/IL6/RELA	3
hsa05146	Amoebiasis	3/29	102/8464	0.00494564629360346	0.0171195448624735	0.00951085825692974	IL1B/IL6/RELA	3
hsa04136	Autophagy - other	2/29	32/8464	0.00527553194952445	0.0179169009606491	0.00995383386702727	ATG16L1/GABARAPL2	2
hsa04928	Parathyroid hormone synthesis, secretion and action	3/29	106/8464	0.00550615540904804	0.0183538513634935	0.0101965840908297	CDKN1A/EGFR/MEF2C	3
hsa04659	Th17 cell differentiation	3/29	108/8464	0.00580020080302431	0.0189824753553523	0.0105458196418624	IL1B/IL6/RELA	3
hsa05143	African trypanosomiasis	2/29	37/8464	0.00700909046363362	0.0225292193473938	0.0125162329707743	IL1B/IL6	2
hsa04216	Ferroptosis	2/29	41/8464	0.00855710094508718	0.0270224240371174	0.0150124577983986	SLC39A14/TFRC	2
hsa05332	Graft-versus-host disease	2/29	42/8464	0.00896597917404977	0.02782545260912	0.0154585847828444	IL1B/IL6	2
hsa04380	Osteoclast differentiation	3/29	128/8464	0.00926460802488339	0.0282649058386273	0.0157027254659041	IL1B/RELA/SOCS1	3
hsa05418	Fluid shear stress and atherosclerosis	3/29	139/8464	0.0115913112740326	0.0347739338220978	0.0193188521233877	IL1B/MEF2C/RELA	3
hsa05144	Malaria	2/29	50/8464	0.0125427005466087	0.037011247514583	0.0205618041747683	IL1B/IL6	2
hsa05224	Breast cancer	3/29	147/8464	0.0134777386975448	0.0391289187993237	0.0217382882218465	CDKN1A/EGFR/FZD7	3
hsa05226	Gastric cancer	3/29	149/8464	0.0139752676316555	0.0399293360904443	0.0221829644946913	CDKN1A/EGFR/FZD7	3
hsa04932	Non-alcoholic fatty liver disease	3/29	155/8464	0.0155306101109668	0.043679840937094	0.0242665782983856	IL1B/IL6/RELA	3
hsa05213	Endometrial cancer	2/29	58/8464	0.0166417631257493	0.046084882502075	0.0256027125011528	CDKN1A/EGFR	2
hsa04010	MAPK signaling pathway	4/29	302/8464	0.018669548482967	0.0509169504080919	0.0282871946711621	EGFR/IL1B/MEF2C/RELA	4
hsa05217	Basal cell carcinoma	2/29	63/8464	0.0194560251425735	0.052269918293481	0.0290388434963783	CDKN1A/FZD7	2
hsa05152	Tuberculosis	3/29	180/8464	0.0230371971195677	0.0609602079168979	0.0338667821760544	IL1B/IL6/RELA	3
hsa04917	Prolactin signaling pathway	2/29	70/8464	0.0237067475232381	0.0609602079168979	0.0338667821760544	RELA/SOCS1	2
hsa05120	Epithelial cell signaling in Helicobacter pylori infection	2/29	70/8464	0.0237067475232381	0.0609602079168979	0.0338667821760544	EGFR/RELA	2
hsa04622	RIG-I-like receptor signaling pathway	2/29	71/8464	0.02434266259943	0.0617137925055972	0.0342854402808874	RELA/TBK1	2
hsa01524	Platinum drug resistance	2/29	73/8464	0.0256354694989769	0.0640886737474422	0.035604818748579	CDKN1A/CDKN2A	2
hsa04115	p53 signaling pathway	2/29	74/8464	0.0262922577143355	0.0648302245011013	0.0360167913895007	CDKN1A/CDKN2A	2
hsa05130	Pathogenic Escherichia coli infection	3/29	197/8464	0.0290960402210886	0.0707741518891346	0.0393189732717414	IL1B/IL6/RELA	3
hsa01521	EGFR tyrosine kinase inhibitor resistance	2/29	79/8464	0.0296779968329056	0.0712271923989733	0.0395706624438741	EGFR/IL6	2
hsa04151	PI3K-Akt signaling pathway	4/29	354/8464	0.0312750196968462	0.0734009865342481	0.0407783258523601	CDKN1A/EGFR/IL6/RELA	4
hsa04146	Peroxisome	2/29	82/8464	0.0317890586444642	0.0734009865342481	0.0407783258523601	PEX2/SCP2	2
hsa05203	Viral carcinogenesis	3/29	204/8464	0.0318156832503658	0.0734009865342481	0.0407783258523601	CDKN1A/CDKN2A/RELA	3
hsa05205	Proteoglycans in cancer	3/29	205/8464	0.0322148774233644	0.0734009865342481	0.0407783258523601	CDKN1A/EGFR/FZD7	3
hsa04012	ErbB signaling pathway	2/29	85/8464	0.0339581900740464	0.0764059276666044	0.042447737592558	CDKN1A/EGFR	2
hsa05210	Colorectal cancer	2/29	86/8464	0.0346939091367016	0.077097575859337	0.0428319865885205	CDKN1A/EGFR	2
hsa04211	Longevity regulating pathway	2/29	89/8464	0.0369384131530146	0.0801074020185858	0.0445041122325477	RELA/ULK1	2
hsa05235	PD-L1 expression and PD-1 checkpoint pathway in cancer	2/29	89/8464	0.0369384131530146	0.0801074020185858	0.0445041122325477	EGFR/RELA	2
hsa05323	Rheumatoid arthritis	2/29	93/8464	0.040016441625526	0.0857495177689842	0.047638620982769	IL1B/IL6	2
hsa04014	Ras signaling pathway	3/29	236/8464	0.0458998825499049	0.0971997512821515	0.0539998618234175	EGFR/RELA/TBK1	3
