ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0002237	response to molecule of bacterial origin	8/40	366/18614	9.1874722008814e-07	0.000137090210197437	7.62629271411508e-05	IL1B/IL6/MEF2C/MTDH/PTGS2/RELA/TNFAIP3/ZFP36	8
BP	GO:0043122	regulation of I-kappaB kinase/NF-kappaB signaling	7/40	258/18614	1.14303925303456e-06	0.000159187266639279	8.85554621298351e-05	BRD4/IL1B/MTDH/RELA/TBK1/TFRC/TNFAIP3	7
BP	GO:0051091	positive regulation of DNA-binding transcription factor activity	7/40	271/18614	1.58640680652771e-06	0.000196675864050597	0.000109410271301735	DDR2/IL1B/IL6/MTDH/PARK7/RELA/TFRC	7
BP	GO:0070301	cellular response to hydrogen peroxide	5/40	93/18614	1.60052163181433e-06	0.000196675864050597	0.000109410271301735	DDR2/IL6/PARK7/RELA/TNFAIP3	5
BP	GO:0051348	negative regulation of transferase activity	7/40	279/18614	1.9249167407582e-06	0.000212062070338398	0.00011796957781542	CDKN1A/CDKN2A/DDR2/IL1B/PARK7/TNFAIP3/ZFP36	7
BP	GO:0048660	regulation of smooth muscle cell proliferation	6/40	176/18614	1.92875985468146e-06	0.000212062070338398	0.00011796957781542	CDKN1A/DDR2/IL6/MEF2C/PTGS2/TNFAIP3	6
BP	GO:0048659	smooth muscle cell proliferation	6/40	180/18614	2.19759719741095e-06	0.000229539027269573	0.000127691963470615	CDKN1A/DDR2/IL6/MEF2C/PTGS2/TNFAIP3	6
BP	GO:0048144	fibroblast proliferation	5/40	103/18614	2.65398497266382e-06	0.000252846782191137	0.000140658006872598	CDKN1A/DAZAP1/DDR2/EGFR/PEX2	5
BP	GO:0007249	I-kappaB kinase/NF-kappaB signaling	7/40	293/18614	2.66281915184539e-06	0.000252846782191137	0.000140658006872598	BRD4/IL1B/MTDH/RELA/TBK1/TFRC/TNFAIP3	7
BP	GO:0043123	positive regulation of I-kappaB kinase/NF-kappaB signaling	6/40	192/18614	3.19330474638175e-06	0.000277591106418546	0.000154423210040601	BRD4/IL1B/MTDH/RELA/TBK1/TFRC	6
BP	GO:0002673	regulation of acute inflammatory response	4/40	48/18614	3.32205728121764e-06	0.000277591106418546	0.000154423210040601	IL1B/IL6/PARK7/PTGS2	4
BP	GO:0006953	acute-phase response	4/40	48/18614	3.32205728121764e-06	0.000277591106418546	0.000154423210040601	IL1B/IL6/PTGS2/TFRC	4
BP	GO:0031349	positive regulation of defense response	8/40	441/18614	3.68290505853382e-06	0.000292635502543844	0.000162792368450482	IL1B/IL6/MEF2C/PARK7/PTGS2/RELA/TBK1/TNFAIP3	8
BP	GO:0018105	peptidyl-serine phosphorylation	7/40	309/18614	3.78226834307505e-06	0.000292635502543844	0.000162792368450482	EGFR/IL6/PARK7/PTGS2/TBK1/TFRC/ULK1	7
BP	GO:0042177	negative regulation of protein catabolic process	5/40	112/18614	4.01011984361523e-06	0.000299183584046865	0.000166435049148542	EGFR/FURIN/GABARAPL2/PARK7/RELA	5
BP	GO:0002526	acute inflammatory response	5/40	114/18614	4.3744951350734e-06	0.000315114494385115	0.000175297373107841	IL1B/IL6/PARK7/PTGS2/TFRC	5
BP	GO:0000302	response to reactive oxygen species	6/40	205/18614	4.65883288254016e-06	0.000324410063054214	0.000180468473765766	DDR2/EGFR/IL6/PARK7/RELA/TNFAIP3	6
BP	GO:0018209	peptidyl-serine modification	7/40	327/18614	5.48658309429547e-06	0.000358171002624476	0.000199249596582309	EGFR/IL6/PARK7/PTGS2/TBK1/TFRC/ULK1	7
BP	GO:0071496	cellular response to external stimulus	7/40	327/18614	5.48658309429547e-06	0.000358171002624476	0.000199249596582309	ATF3/CDKN1A/GABARAPL2/HSPA5/IL1B/PTGS2/ULK1	7
BP	GO:0009895	negative regulation of catabolic process	7/40	337/18614	6.68226053125338e-06	0.000423007340902676	0.000235317882823086	EGFR/FURIN/GABARAPL2/IL1B/PARK7/RELA/ZFP36	7
BP	GO:0042542	response to hydrogen peroxide	5/40	129/18614	8.01081318545622e-06	0.000474044238515509	0.000263709576136213	DDR2/IL6/PARK7/RELA/TNFAIP3	5
BP	GO:0070661	leukocyte proliferation	7/40	348/18614	8.24066529959574e-06	0.000474044238515509	0.000263709576136213	CDKN1A/IL1B/IL6/MEF2C/TBK1/TFRC/TNFAIP3	7
BP	GO:0050864	regulation of B cell activation	5/40	130/18614	8.31818796294389e-06	0.000474044238515509	0.000263709576136213	CDKN1A/IL6/MEF2C/TFRC/TNFAIP3	5
BP	GO:0062197	cellular response to chemical stress	7/40	349/18614	8.39618804455425e-06	0.000474044238515509	0.000263709576136213	DDR2/EGFR/IL6/PARK7/PTGS2/RELA/TNFAIP3	7
BP	GO:0032757	positive regulation of interleukin-8 production	4/40	63/18614	9.93647622754023e-06	0.000546244706298199	0.000303874508454416	IL1B/IL6/PARK7/RELA	4
BP	GO:0042176	regulation of protein catabolic process	7/40	361/18614	1.04611560226432e-05	0.000560342434135937	0.000311717037759731	EGFR/FURIN/GABARAPL2/IL1B/PARK7/RELA/TNFAIP3	7
BP	GO:0033673	negative regulation of kinase activity	6/40	239/18614	1.12080630551271e-05	0.000579056575864951	0.000322127666098061	CDKN1A/CDKN2A/DDR2/IL1B/PARK7/TNFAIP3	6
BP	GO:0045860	positive regulation of protein kinase activity	7/40	366/18614	1.14379439759582e-05	0.000579056575864951	0.000322127666098061	CDKN1A/DDR2/EGFR/IL1B/MEF2C/PARK7/SOCS1	7
BP	GO:0010038	response to metal ion	7/40	367/18614	1.16421140193049e-05	0.000579056575864951	0.000322127666098061	EGFR/HSPA5/MEF2C/NDRG1/PARK7/PTGS2/TFRC	7
BP	GO:0010042	response to manganese ion	3/40	22/18614	1.37617396992078e-05	0.000656672769922523	0.000365305352847983	HSPA5/PTGS2/TFRC	3
BP	GO:0050671	positive regulation of lymphocyte proliferation	5/40	145/18614	1.41405839319432e-05	0.000656672769922523	0.000365305352847983	CDKN1A/IL1B/IL6/MEF2C/TFRC	5
BP	GO:0033002	muscle cell proliferation	6/40	249/18614	1.41456556469667e-05	0.000656672769922523	0.000365305352847983	CDKN1A/DDR2/IL6/MEF2C/PTGS2/TNFAIP3	6
BP	GO:0010508	positive regulation of autophagy	5/40	146/18614	1.4619074897076e-05	0.000663896683912864	0.000369323997399815	ATG16L1/MTDH/PARK7/TBK1/ULK1	5
BP	GO:0042326	negative regulation of phosphorylation	7/40	383/18614	1.53438532337656e-05	0.000673699465081331	0.000374777259051064	CDKN1A/CDKN2A/DDR2/IL1B/PARK7/SOCS1/TNFAIP3	7
BP	GO:0032946	positive regulation of mononuclear cell proliferation	5/40	148/18614	1.56139279580314e-05	0.000673699465081331	0.000374777259051064	CDKN1A/IL1B/IL6/MEF2C/TFRC	5
BP	GO:0006925	inflammatory cell apoptotic process	3/40	23/18614	1.58024288123433e-05	0.000673699465081331	0.000374777259051064	CDKN2A/IL6/MEF2C	3
BP	GO:0050867	positive regulation of cell activation	7/40	394/18614	1.84165898263872e-05	0.000769445122946458	0.000428040319333295	CDKN1A/DDR2/IL1B/IL6/MEF2C/SOCS1/TFRC	7
BP	GO:2001236	regulation of extrinsic apoptotic signaling pathway	5/40	156/18614	2.01331767371026e-05	0.000824670709878577	0.000458762169613237	ATF3/IL1B/PARK7/RELA/TNFAIP3	5
BP	GO:0070663	regulation of leukocyte proliferation	6/40	268/18614	2.14359597435077e-05	0.000861148459695916	0.000479054646899444	CDKN1A/IL1B/IL6/MEF2C/TFRC/TNFAIP3	6
BP	GO:0070665	positive regulation of leukocyte proliferation	5/40	166/18614	2.71473234827839e-05	0.00107001431614218	0.000595246179245153	CDKN1A/IL1B/IL6/MEF2C/TFRC	5
BP	GO:0050871	positive regulation of B cell activation	4/40	83/18614	2.97202881591378e-05	0.00114973485119331	0.000639594505413023	CDKN1A/IL6/MEF2C/TFRC	4
BP	GO:0043434	response to peptide hormone	7/40	427/18614	3.08382937914098e-05	0.00117129446782282	0.000651588064032849	DDR2/IL1B/PTGS2/RELA/SLC39A14/SNX5/SOCS1	7
BP	GO:0033674	positive regulation of kinase activity	7/40	430/18614	3.22465659103701e-05	0.00118427939457531	0.000658811544990621	CDKN1A/DDR2/EGFR/IL1B/MEF2C/PARK7/SOCS1	7
BP	GO:0010575	positive regulation of vascular endothelial growth factor production	3/40	29/18614	3.23139901822845e-05	0.00118427939457531	0.000658811544990621	IL1B/IL6/PTGS2	3
BP	GO:0034599	cellular response to oxidative stress	6/40	290/18614	3.33860147307368e-05	0.00119095375916061	0.000662524476638689	DDR2/EGFR/IL6/PARK7/RELA/TNFAIP3	6
BP	GO:0034103	regulation of tissue remodeling	4/40	86/18614	3.41858501562339e-05	0.00119095375916061	0.000662524476638689	DDR2/IL6/TFRC/TNFAIP3	4
BP	GO:0006979	response to oxidative stress	7/40	434/18614	3.42064267829758e-05	0.00119095375916061	0.000662524476638689	DDR2/EGFR/IL6/PARK7/PTGS2/RELA/TNFAIP3	7
BP	GO:0048145	regulation of fibroblast proliferation	4/40	87/18614	3.57780030297005e-05	0.0012079466533215	0.0006719775794346	CDKN1A/DDR2/EGFR/PEX2	4
BP	GO:0070498	interleukin-1-mediated signaling pathway	3/40	30/18614	3.58509777433858e-05	0.0012079466533215	0.0006719775794346	IL1B/IL6/RELA	3
BP	GO:0045936	negative regulation of phosphate metabolic process	7/40	439/18614	3.67934085430447e-05	0.00121846381695034	0.000677828250189299	CDKN1A/CDKN2A/DDR2/IL1B/PARK7/SOCS1/TNFAIP3	7
BP	GO:0010563	negative regulation of phosphorus metabolic process	7/40	440/18614	3.73296717495556e-05	0.00121846381695034	0.000677828250189299	CDKN1A/CDKN2A/DDR2/IL1B/PARK7/SOCS1/TNFAIP3	7
BP	GO:0055072	iron ion homeostasis	4/40	89/18614	3.9124401959484e-05	0.00125739808759019	0.000699487283615714	GLRX5/SLC25A28/SLC39A14/TFRC	4
BP	GO:0048771	tissue remodeling	5/40	181/18614	4.10741480478479e-05	0.00130005901927204	0.000723219448880768	DDR2/IL6/MEF2C/TFRC/TNFAIP3	5
BP	GO:0051607	defense response to virus	6/40	303/18614	4.26508317992945e-05	0.00132206241749261	0.000735459882044717	ATG16L1/IL1B/IL6/RELA/TBK1/TNFAIP3	6
BP	GO:0140546	defense response to symbiont	6/40	304/18614	4.34411830051368e-05	0.00132206241749261	0.000735459882044717	ATG16L1/IL1B/IL6/RELA/TBK1/TNFAIP3	6
BP	GO:0045736	negative regulation of cyclin-dependent protein serine/threonine kinase activity	3/40	32/18614	4.36679304964051e-05	0.00132206241749261	0.000735459882044717	CDKN1A/CDKN2A/TNFAIP3	3
BP	GO:0061912	selective autophagy	4/40	93/18614	4.64971663721488e-05	0.00135398874324655	0.000753220413970015	ATG16L1/PEX2/TBK1/ULK1	4
BP	GO:0071375	cellular response to peptide hormone stimulus	6/40	308/18614	4.67211287131597e-05	0.00135398874324655	0.000753220413970015	DDR2/IL1B/RELA/SLC39A14/SNX5/SOCS1	6
BP	GO:1904030	negative regulation of cyclin-dependent protein kinase activity	3/40	33/18614	4.79632202011703e-05	0.00135398874324655	0.000753220413970015	CDKN1A/CDKN2A/TNFAIP3	3
BP	GO:1905207	regulation of cardiocyte differentiation	3/40	33/18614	4.79632202011703e-05	0.00135398874324655	0.000753220413970015	EGFR/FZD7/MEF2C	3
BP	GO:1990776	response to angiotensin	3/40	33/18614	4.79632202011703e-05	0.00135398874324655	0.000753220413970015	DDR2/PTGS2/RELA	3
BP	GO:0032943	mononuclear cell proliferation	6/40	313/18614	5.10976375989537e-05	0.00142263544266852	0.000791408394198207	CDKN1A/IL1B/IL6/MEF2C/TBK1/TFRC	6
BP	GO:0002822	regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	5/40	190/18614	5.17569620118755e-05	0.00142263544266852	0.000791408394198207	IL1B/IL6/MEF2C/TFRC/TNFAIP3	5
BP	GO:2001237	negative regulation of extrinsic apoptotic signaling pathway	4/40	99/18614	5.93947728373679e-05	0.0016015957678934	0.000890963557357748	IL1B/PARK7/RELA/TNFAIP3	4
BP	GO:0016236	macroautophagy	6/40	322/18614	5.98010865943923e-05	0.0016015957678934	0.000890963557357748	ATG16L1/GABARAPL2/PEX2/SNX5/TBK1/ULK1	6
BP	GO:0051251	positive regulation of lymphocyte activation	6/40	327/18614	6.51263340920461e-05	0.0017221381255479	0.000958020957196787	CDKN1A/IL1B/IL6/MEF2C/SOCS1/TFRC	6
BP	GO:0032677	regulation of interleukin-8 production	4/40	103/18614	6.93294655546132e-05	0.00181036566929484	0.00100710171016175	IL1B/IL6/PARK7/RELA	4
BP	GO:0050673	epithelial cell proliferation	7/40	488/18614	7.18120091405066e-05	0.00182377519939698	0.00101456139685786	EGFR/FZD7/IL6/MEF2C/PEX2/TNFAIP3/ZFP36	7
BP	GO:0032637	interleukin-8 production	4/40	104/18614	7.19912979866841e-05	0.00182377519939698	0.00101456139685786	IL1B/IL6/PARK7/RELA	4
BP	GO:0001819	positive regulation of cytokine production	7/40	489/18614	7.27407291656967e-05	0.00182377519939698	0.00101456139685786	FURIN/IL1B/IL6/PARK7/PTGS2/RELA/TBK1	7
BP	GO:0033028	myeloid cell apoptotic process	3/40	38/18614	7.36099119167485e-05	0.00182377519939698	0.00101456139685786	CDKN2A/IL6/MEF2C	3
BP	GO:0002819	regulation of adaptive immune response	5/40	205/18614	7.42081818806813e-05	0.00182377519939698	0.00101456139685786	IL1B/IL6/MEF2C/TFRC/TNFAIP3	5
BP	GO:0001933	negative regulation of protein phosphorylation	6/40	341/18614	8.20835254572611e-05	0.00199386610093277	0.00110918252270277	CDKN1A/CDKN2A/IL1B/PARK7/SOCS1/TNFAIP3	6
BP	GO:0010506	regulation of autophagy	6/40	348/18614	9.17929729293586e-05	0.00219822734567891	0.00122286815128342	ATG16L1/MTDH/PARK7/SNX5/TBK1/ULK1	6
BP	GO:0150077	regulation of neuroinflammatory response	3/40	41/18614	9.26012476877664e-05	0.00219822734567891	0.00122286815128342	IL1B/IL6/PTGS2	3
BP	GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	4/40	112/18614	9.60459680093004e-05	0.00225264396432197	0.00125313997460959	CDKN1A/CDKN2A/EGFR/TNFAIP3	4
BP	GO:0006469	negative regulation of protein kinase activity	5/40	217/18614	9.70502425988402e-05	0.00225264396432197	0.00125313997460959	CDKN1A/CDKN2A/IL1B/PARK7/TNFAIP3	5
BP	GO:0045124	regulation of bone resorption	3/40	42/18614	9.95760511617451e-05	0.0022858722074383	0.00127162475977521	IL6/TFRC/TNFAIP3	3
BP	GO:1904029	regulation of cyclin-dependent protein kinase activity	4/40	116/18614	0.000110045929725169	0.00249876029560737	0.00139005384916003	CDKN1A/CDKN2A/EGFR/TNFAIP3	4
BP	GO:0043620	regulation of DNA-templated transcription in response to stress	3/40	44/18614	0.000114535219797297	0.00257273198017799	0.00143120410476758	ATF3/HSPA5/RELA	3
BP	GO:0097191	extrinsic apoptotic signaling pathway	5/40	227/18614	0.000119925192905647	0.00266514604233933	0.00148261380703062	ATF3/IL1B/PARK7/RELA/TNFAIP3	5
BP	GO:0030890	positive regulation of B cell proliferation	3/40	45/18614	0.000122533762454052	0.00269445294491067	0.00149891716065676	CDKN1A/MEF2C/TFRC	3
BP	GO:0071900	regulation of protein serine/threonine kinase activity	6/40	369/18614	0.000126536025247802	0.00274660858349635	0.00152793120666145	CDKN1A/CDKN2A/EGFR/IL1B/MEF2C/TNFAIP3	6
BP	GO:0031669	cellular response to nutrient levels	5/40	230/18614	0.000127535199903852	0.00274660858349635	0.00152793120666145	ATF3/CDKN1A/GABARAPL2/HSPA5/ULK1	5
BP	GO:2001234	negative regulation of apoptotic signaling pathway	5/40	233/18614	0.000135510737275193	0.00288646022113802	0.00160573030870292	IL1B/PARK7/PTGS2/RELA/TNFAIP3	5
BP	GO:0071901	negative regulation of protein serine/threonine kinase activity	4/40	123/18614	0.000138028847959277	0.00288646022113802	0.00160573030870292	CDKN1A/CDKN2A/IL1B/TNFAIP3	4
BP	GO:1901653	cellular response to peptide	6/40	375/18614	0.000138174256636573	0.00288646022113802	0.00160573030870292	DDR2/IL1B/RELA/SLC39A14/SNX5/SOCS1	6
BP	GO:0002696	positive regulation of leukocyte activation	6/40	377/18614	0.000142237267873959	0.00294191735236337	0.00163658096647056	CDKN1A/IL1B/IL6/MEF2C/SOCS1/TFRC	6
BP	GO:2001233	regulation of apoptotic signaling pathway	6/40	381/18614	0.000150648106292006	0.00308533229454902	0.00171636232555598	ATF3/IL1B/PARK7/PTGS2/RELA/TNFAIP3	6
BP	GO:0050670	regulation of lymphocyte proliferation	5/40	239/18614	0.000152605940697125	0.00309508553510965	0.00172178802789603	CDKN1A/IL1B/IL6/MEF2C/TFRC	5
BP	GO:0046850	regulation of bone remodeling	3/40	49/18614	0.000158150892481753	0.00317670398456136	0.00176719215890541	IL6/TFRC/TNFAIP3	3
BP	GO:0008286	insulin receptor signaling pathway	4/40	128/18614	0.000160945319049461	0.00320204544280309	0.00178128954617148	IL1B/SLC39A14/SNX5/SOCS1	4
BP	GO:0032944	regulation of mononuclear cell proliferation	5/40	243/18614	0.000164889180889857	0.0032495613101784	0.00180772249952733	CDKN1A/IL1B/IL6/MEF2C/TFRC	5
BP	GO:1902041	regulation of extrinsic apoptotic signaling pathway via death domain receptors	3/40	50/18614	0.000167995433211371	0.00327983607456592	0.00182456427216285	ATF3/PARK7/TNFAIP3	3
BP	GO:1990928	response to amino acid starvation	3/40	52/18614	0.000188860509997438	0.0036530519017097	0.00203218326546951	ATF3/CDKN1A/PEX2	3
BP	GO:0000082	G1/S transition of mitotic cell cycle	5/40	251/18614	0.000191715889632052	0.00367426140771886	0.00204398205846243	BRD4/CDKN1A/CDKN2A/DDR2/EGFR	5
BP	GO:0048146	positive regulation of fibroblast proliferation	3/40	53/18614	0.000199894488857722	0.0037382757494533	0.00207959307016525	CDKN1A/DDR2/EGFR	3
BP	GO:0033034	positive regulation of myeloid cell apoptotic process	2/40	10/18614	0.000200424549515926	0.0037382757494533	0.00207959307016525	CDKN2A/MEF2C	2
BP	GO:2000109	regulation of macrophage apoptotic process	2/40	10/18614	0.000200424549515926	0.0037382757494533	0.00207959307016525	CDKN2A/MEF2C	2
BP	GO:0009615	response to virus	6/40	408/18614	0.000218300877755443	0.00403566843921346	0.00224503184948309	ATG16L1/IL1B/IL6/RELA/TBK1/TNFAIP3	6
BP	GO:0031668	cellular response to extracellular stimulus	5/40	261/18614	0.00022980167158022	0.0042110148415007	0.00234257659671804	ATF3/CDKN1A/GABARAPL2/HSPA5/ULK1	5
BP	GO:0001660	fever generation	2/40	11/18614	0.000244630259331917	0.0043569648349937	0.00242376819824799	IL1B/PTGS2	2
BP	GO:0033234	negative regulation of protein sumoylation	2/40	11/18614	0.000244630259331917	0.0043569648349937	0.00242376819824799	PARK7/RELA	2
BP	GO:1990440	positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress	2/40	11/18614	0.000244630259331917	0.0043569648349937	0.00242376819824799	ATF3/HSPA5	2
BP	GO:0006826	iron ion transport	3/40	57/18614	0.000248194741677477	0.0043569648349937	0.00242376819824799	SLC25A28/SLC39A14/TFRC	3
BP	GO:0032768	regulation of monooxygenase activity	3/40	57/18614	0.000248194741677477	0.0043569648349937	0.00242376819824799	EGFR/IL1B/PARK7	3
BP	GO:0050678	regulation of epithelial cell proliferation	6/40	419/18614	0.000251929506842573	0.00438567283161779	0.00243973838205439	EGFR/FZD7/MEF2C/PEX2/TNFAIP3/ZFP36	6
BP	GO:0010574	regulation of vascular endothelial growth factor production	3/40	59/18614	0.000274934905994759	0.00474660345969464	0.00264052315109364	IL1B/IL6/PTGS2	3
BP	GO:1903039	positive regulation of leukocyte cell-cell adhesion	5/40	273/18614	0.000282834528216008	0.00484296171674787	0.00269412699870986	IL1B/IL6/RELA/SOCS1/TFRC	5
BP	GO:0016237	lysosomal microautophagy	2/40	12/18614	0.000293157212135618	0.00493875335605893	0.00274741563835079	ATG16L1/ULK1	2
BP	GO:0031650	regulation of heat generation	2/40	12/18614	0.000293157212135618	0.00493875335605893	0.00274741563835079	IL1B/PTGS2	2
BP	GO:0042113	B cell activation	5/40	276/18614	0.000297438171981546	0.0049707867301556	0.00276523572099055	CDKN1A/IL6/MEF2C/TFRC/TNFAIP3	5
BP	GO:0022617	extracellular matrix disassembly	3/40	62/18614	0.000318427164871055	0.005199769933943	0.00289261848130461	DDR2/FURIN/IL6	3
BP	GO:0044843	cell cycle G1/S phase transition	5/40	281/18614	0.000323043832258745	0.005199769933943	0.00289261848130461	BRD4/CDKN1A/CDKN2A/DDR2/EGFR	5
BP	GO:0009411	response to UV	4/40	154/18614	0.00032657390423859	0.005199769933943	0.00289261848130461	CDKN1A/EGFR/PTGS2/RELA	4
BP	GO:0050729	positive regulation of inflammatory response	4/40	154/18614	0.00032657390423859	0.005199769933943	0.00289261848130461	IL1B/IL6/PARK7/PTGS2	4
BP	GO:0010573	vascular endothelial growth factor production	3/40	63/18614	0.000333851699303231	0.005199769933943	0.00289261848130461	IL1B/IL6/PTGS2	3
BP	GO:0032623	interleukin-2 production	3/40	63/18614	0.000333851699303231	0.005199769933943	0.00289261848130461	IL1B/TNFAIP3/ZFP36	3
BP	GO:0032663	regulation of interleukin-2 production	3/40	63/18614	0.000333851699303231	0.005199769933943	0.00289261848130461	IL1B/TNFAIP3/ZFP36	3
BP	GO:0031392	regulation of prostaglandin biosynthetic process	2/40	13/18614	0.000345987563819089	0.005199769933943	0.00289261848130461	IL1B/PTGS2	2
BP	GO:0032494	response to peptidoglycan	2/40	13/18614	0.000345987563819089	0.005199769933943	0.00289261848130461	IL6/RELA	2
BP	GO:0036462	TRAIL-activated apoptotic signaling pathway	2/40	13/18614	0.000345987563819089	0.005199769933943	0.00289261848130461	ATF3/PARK7	2
BP	GO:0071236	cellular response to antibiotic	2/40	13/18614	0.000345987563819089	0.005199769933943	0.00289261848130461	HSPA5/MEF2C	2
BP	GO:0071888	macrophage apoptotic process	2/40	13/18614	0.000345987563819089	0.005199769933943	0.00289261848130461	CDKN2A/MEF2C	2
BP	GO:0098792	xenophagy	2/40	13/18614	0.000345987563819089	0.005199769933943	0.00289261848130461	ATG16L1/TBK1	2
BP	GO:1901298	regulation of hydrogen peroxide-mediated programmed cell death	2/40	13/18614	0.000345987563819089	0.005199769933943	0.00289261848130461	DDR2/PARK7	2
BP	GO:0045453	bone resorption	3/40	64/18614	0.000349750183252282	0.00521877237724298	0.00290318949105654	IL6/TFRC/TNFAIP3	3
BP	GO:0030888	regulation of B cell proliferation	3/40	65/18614	0.000366128787316557	0.00538614439859857	0.00299629811093337	CDKN1A/MEF2C/TFRC	3
BP	GO:0031663	lipopolysaccharide-mediated signaling pathway	3/40	65/18614	0.000366128787316557	0.00538614439859857	0.00299629811093337	IL1B/MTDH/TNFAIP3	3
BP	GO:0051092	positive regulation of NF-kappaB transcription factor activity	4/40	159/18614	0.000368702081857154	0.00538614439859857	0.00299629811093337	IL1B/MTDH/RELA/TFRC	4
BP	GO:1901224	positive regulation of NIK/NF-kappaB signaling	3/40	67/18614	0.000400350824017021	0.00580747076564367	0.0032306808723744	EGFR/IL1B/RELA	3
BP	GO:0002467	germinal center formation	2/40	14/18614	0.000403103523704323	0.00580747076564367	0.0032306808723744	MEF2C/TNFAIP3	2
BP	GO:1903829	positive regulation of protein localization	6/40	468/18614	0.000454562997218842	0.00650398699445316	0.00361815103770441	EGFR/IL1B/PARK7/PGRMC1/PTGS2/TFRC	6
BP	GO:0010421	hydrogen peroxide-mediated programmed cell death	2/40	15/18614	0.000464487354405137	0.00651217505605591	0.00362270603506373	DDR2/PARK7	2
BP	GO:1905208	negative regulation of cardiocyte differentiation	2/40	15/18614	0.000464487354405137	0.00651217505605591	0.00362270603506373	EGFR/FZD7	2
BP	GO:2001279	regulation of unsaturated fatty acid biosynthetic process	2/40	15/18614	0.000464487354405137	0.00651217505605591	0.00362270603506373	IL1B/PTGS2	2
BP	GO:0009267	cellular response to starvation	4/40	170/18614	0.000474882679079095	0.00660014004111214	0.00367164072731239	ATF3/CDKN1A/GABARAPL2/HSPA5	4
BP	GO:0046651	lymphocyte proliferation	5/40	306/18614	0.000477080491243625	0.00660014004111214	0.00367164072731239	CDKN1A/IL1B/IL6/MEF2C/TFRC	5
BP	GO:0046626	regulation of insulin receptor signaling pathway	3/40	72/18614	0.000494731750694513	0.00679930675790025	0.0037824366535093	IL1B/SNX5/SOCS1	3
BP	GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	5/40	311/18614	0.000513585727222894	0.00696492795886192	0.00387457129655769	IL1B/IL6/MEF2C/TFRC/TNFAIP3	5
BP	GO:1900076	regulation of cellular response to insulin stimulus	3/40	73/18614	0.000515168349466559	0.00696492795886192	0.00387457129655769	IL1B/SNX5/SOCS1	3
